seller_id,total_orders,total_revenue
0c8380b62e38e8a1e6adbeba7eb9688c,180,22921.39
128639473a139ac0f3e5f5ade55873a5,527,22256.31
44073f8b7e41514de3b7815dd0237f4f,142,22108.33
41b39e28db005d9731d9d485a83b4c38,187,22030.27
54a1852d1b8f10312c55e906355666ee,198,21831.01
cd68562d3f44870c08922d380acae552,122,21762.6
76d64c4aca3a7baf218bf93ef7fa768d,64,21742.28
7aa4334be125fcdd2ba64b3180029f14,214,21498.52
1e8b33f18b4f7598d87f5cbee2282cc2,122,21449.5
fa40cc5b934574b62717c68f3d678b6d,304,21222.96
96493fab2fbb13a14d0c0e8772eef5c3,63,21121.1
527801b552d0077ffd170872eb49683b,90,21025.64
86ccac0b835037332a596a33b6949ee1,178,20870.06
c33847515fa6305ce6feb1e818569f13,114,20818.6
9de4643a8dbde634fe55621059d92273,72,20220.72
d650b663c3b5f6fb392b6326366efa9a,57,20168.25
a3e9a2c700480d9bb01fba070ba80a0e,129,19909.6
4a3ccda38b2129705f3fb522db62ca31,64,19893.0
4b9750c8ad28220fe6702d4ecb7c898f,217,19666.49
79ebd9a61bac3eaf882805ed4ecfa12a,133,19459.04
213b25e6f54661939f11710a6fddb871,152,19187.67
165fc07beebdcb6190fba8a06db2a449,50,19081.43
8ae520247981aa06bc94abddf5f46d34,65,19039.03
2138ccb85b11a4ec1e37afbd1c8eda1f,388,18991.32
4c2b230173bb36f9b240f2b8ac11786e,258,18946.39
2a84855fd20af891be03bc5924d2b453,155,18825.5
94144541854e298c2d976cb893b81343,68,18760.34
80e6699fe29150b372a0c8a1ebf7dcc8,96,18676.9
a888faf2d1baececa6baf9c3d603ee1f,53,18672.75
ef0ace09169ac090589d85746e3e036f,128,18655.11
d921b68bf747894be13a97ae52b0f386,77,18495.29
75d34ebb1bd0bd7dde40dd507b8169c3,57,18417.19
66922902710d126a0e7d26b0e3805106,150,18268.18
0adac9fbd9a2b63cccaac4f8756c1ca8,106,18248.37
5cf13accae3222c70a9cac40818ae839,148,18149.06
6039e27294dc75811c0d8a39069f52c0,63,17983.47
01fdefa7697d26ad920e9e0346d4bd1b,128,17928.77
229c3efbfb0ea2058de4ccdfbc3d784a,118,17779.71
3b15288545f8928d3e65a8f949a28291,101,17663.32
cfb1a033743668a192316f3c6d1d2671,143,17555.24
d94a40fd42351c259927028d163af842,100,17545.27
1b4c3a6f53068f0b6944d2d005c9fc89,111,17497.05
e5a38146df062edaf55c38afa99e42dc,120,17439.26
6d66611d7c44cc30ce351abc49a68421,164,17180.86
2e90cb1677d35cfe24eef47d441b7c87,127,17138.63
6edacfd9f9074789dad6d62ba7950b9c,205,16888.3
669ae81880e08f269a64487cfb287169,161,16816.65
09f952a5f58d2285b0372551ae8f9b01,50,16611.49
ce248b21cb2adc36282ede306b7660e5,64,16600.7
a673821011d0cec28146ea42f5ab767f,125,16571.89
e24fc9fcd865784fb25705606fe3dfe7,51,16447.55
1f9ab4708f3056ede07124aad39a2554,76,16242.9
8e6d7754bc7e0f22c96d255ebda59eba,84,16237.61
ce7d1888639e6fb06b2749cbfdac1ff7,78,16214.06
530ec6109d11eaaf87999465c6afee01,94,16020.07
701938c450705b8ae65fc923b70f35c7,74,15930.61
00fc707aaaad2d31347cf883cd2dfe10,103,15900.3
a5cba26a62b8b4d0145b68b841e62e7f,53,15897.59
431af27f296bc6519d890aa5a05fdb11,116,15831.52
080199a181c46c657dc5aa235411be3b,79,15733.82
440dd6ab244315c632130ecfb63827b1,91,15731.49
0ea22c1cfbdc755f86b9b54b39c16043,234,15680.1
ac3508719a1d8f5b7614b798f70af136,101,15670.58
c31eff8334d6b3047ed34bebd4d62c36,120,15586.05
2e1c9f22be269ef4643f826c9e650a52,161,15543.52
aba1721a889e04decc910aa13b768ef4,83,15536.96
289cdb325fb7e7f891c38608bf9e0962,109,15486.07
8d956fec2e4337affcb520f56fd8cbfd,210,15475.75
d50d79cb34e38265a8649c383dcffd48,70,15444.41
48436dade18ac8b2bce089ec2a041202,134,15387.02
95e03ca3d4146e4011985981aeb959b9,172,15363.25
01cf7e3d21494c41fb86034f2e714fa1,59,15345.55
c6bda72e4dbf5c5866b13cb1810c6d03,59,15323.04
a7f13822ceb966b076af67121f87b063,73,15245.04
e26901d5ab434ce92fd9b5c256820a4e,197,15113.67
0b35c634521043bf4b47e21547b99ab5,50,15005.45
9e6229250fedbe05838fef417b74e7fb,73,14998.91
05f51e13da97139648b8125c31e5f51b,57,14988.96
ef506c96320abeedfb894c34db06f478,316,14973.36
cab85505710c7cb9b720bceb52b01cee,201,14823.64
6cd68b3ed6d59aaa9fece558ad360c0a,149,14628.02
d6b1ce66b035a475f00c017792ff9769,92,14596.36
d05ae8f7a5bd1d2a690a44cd079e4e27,77,14593.74
813348c996469b40f2e028d5429d3495,172,14439.53
e8b3a3a38279a82f0e5d006d5e5b7d2c,80,14391.15
c8b0e2b0a7095e5d8219575d5e7e1181,84,14380.35
b372ee768ed69e46ca8cdbd267aa7a38,63,14322.4
ff063b022a9a0aab91bad2c9088760b7,94,14282.85
70c27847eca8195c983ed7e798c56743,77,14206.92
1ca7077d890b907f89be8c954a02686a,108,14153.95
99eaacc9e6046db1c82b163c5f84869f,63,14073.98
0be8ff43f22e456b4e0371b2245e4d01,156,14042.36
adbc26658d6c7b4b6219f9d934598091,88,13817.77
5a8e7d5003a1f221f9e1d6e411de7c23,137,13781.46
7202e2ba20579a9bd1acb29e61fe71f6,51,13651.23
5343d0649eca2a983820bfe93fc4d17e,70,13580.0
23d7c96d4a1160db1c726b248601b25a,50,13571.71
7ea5bfa6c340f58f8e71fc1f0412b0d6,96,13546.63
aafe36600ce604f205b86b5084d3d767,129,13546.5
1d8dbc4f32378d715c717c1c1fc57bae,91,13545.65
dd2bdf855a9172734fbc3744021ae9b9,105,13491.52
056b4ada5bbc2c50cc7842547dda6b51,64,13485.79
ca3bd7cd9f149df75950150d010fe4a2,68,13372.68
7040e82f899a04d1b434b795a43b4617,208,13357.84
25e6ffe976bd75618accfe16cefcbd0d,106,13299.53
1da3aeb70d7989d1e6d9b0e887f97c23,261,13240.31
c9c7905cffc4ef9ff9f113554423e671,127,13218.88
f262cbc1c910c83959f849465454ddd3,189,13030.09
dd7ddc04e1b6c2c614352b383efe2d36,121,13008.74
5058e8c1e82653974541e83690655b4a,62,12896.73
562fc2f2c2863ab7e79a9e4388a58a14,255,12884.21
9d5a9018aee56acb367ba9c3f05d1d6a,66,12854.64
c864036feaab8c1659f65ea4faebe1da,58,12809.49
33a6f4b1e7cdc205511e76ba1b6e0186,105,12799.57
b499c00f28f4b7069ff6550af8c1348a,147,12781.82
1c129092bf23f28a5930387c980c0dfc,200,12768.71
f3b80352b986ab4d1057a4b724be19d0,86,12765.2
54965bbe3e4f07ae045b90b0b8541f52,73,12733.04
4830e40640734fc1c52cd21127c341d4,204,12663.94
0df3984f9dfb3d49ac6366acbd3bbb85,86,12659.64
9d4db00d65d7760644ac0c14edb5fd86,97,12575.58
4e7c18b98d84e05cbae3ff0ff03846c2,81,12538.8
ce27a3cc3c8cc1ea79d11e561e9bebb6,122,12457.79
17ca9b9e9b9ef8fdb529001b49ebb50f,115,12447.25
3db66a856d18a9cba7c9241fc5221c50,94,12343.37
f80edd2c5aaa505cc4b0a3b219abf4b8,116,12285.79
259f7b5e6e482c230e5bfaa670b6bb8f,136,12140.53
8b28d096634035667e8263d57ba3368c,139,12116.19
6973a06f484aacf400ece213dbf3d946,89,12004.52
6c7d50c24b3ccd2fd83b44d8bb34e073,112,11927.16
e5a3438891c0bfdb9394643f95273d8e,216,11690.78
aaed1309374718fdd995ee4c58c9dfcd,104,11659.73
92eb0f42c21942b6552362b9b114707d,334,11659.06
ea566164622c6b439516ab18062c42cd,50,11647.17
81a1104df0f08b59c68aa5b03cfe398e,72,11561.27
0db783cfcd3b73998abc6e10e59a102f,132,11537.93
fffd5413c0700ac820c7069d66d98c89,57,11506.3
9b013e03b2ab786505a1d3b5c0756754,170,11486.61
cbd996ad3c1b7dc71fd0e5f5df9087e2,160,11434.6
5656537e588803a555b8eb41f07a944b,171,11426.57
b92e3c8f9738272ff7c59e111e108d7c,62,11333.48
bd23da7354813347129d751591d1a6e2,86,11298.48
b1a81260566c1bac3114a6d124413f27,51,11008.47
750303a20e9c56b2a6bc45cdce0b897d,53,10903.7
7b07b3c7487f0ea825fc6df75abd658b,91,10812.08
0bae85eb84b9fb3bd773911e89288d54,136,10803.97
a49928bcdf77c55c6d6e05e09a9b4ca5,96,10776.51
624f4ece8da4aafb77699233d480f8ef,52,10751.55
d98eec89afa3380e14463da2aabaea72,168,10745.52
5f2684dab12e59f83bef73ae57724e45,67,10741.45
066a6914e1ebf3ea95a216c73a986b91,66,10728.66
7008613ea464bad5cb9b83456e1e6a8f,123,10627.33
048c2757535328e0d7dac690ad3c0aae,50,10612.63
b1fc4f64df5a0e8b6913ab38803c57a9,107,10562.78
febab0275244b9a49a623f0bd613ca2f,106,10529.87
cb8bcce248bb1fb274ba762d8b971456,66,10505.5
f27e33c6d29b5138fa9967bcd445b6d5,93,10482.25
972d0f9cf61b499a4812cf0bfa3ad3c4,81,10428.22
7d456afc660226829370f3173d14520c,55,10241.8
8a432f4e5b471f8da497d7dc517666e2,95,10240.05
6d803cb79cc31c41c4c789a75933b3c7,58,10193.42
8e8a7ce9f2f970dc00e2acf6f6e199f6,63,10118.48
2dee2ce60de9709b1a24083217181a1f,54,10026.11
8e6cc767478edae941d9bd9eb778d77a,100,10006.32
640e21a7d01df7614a3b4923e990d40c,115,10000.72
b4ffb71f0cb1b1c3d63fad021ecf93e1,143,9814.87
609e1a9a6c2539919b8205cf7c4e6ff0,87,9791.08
5b925e1d006e9476d738aa200751b73b,63,9766.6
7a241947449cc45dbfda4f9d0798d9d0,56,9738.53
ebd2d60905fb58271facef5596b620d3,82,9717.51
4371b634e0efc0e22b09b52907d9d469,101,9662.79
18a349e75d307f4b4cc646a691ed4216,109,9644.43
37515688008a7a40ac93e3b2e4ab203f,227,9569.55
725c32fa80c2faacc4fc88450d27314e,89,9447.96
3078096983cf766a32a06257648502d1,56,9428.24
6c177e38df6d3f34182b1f1d427231bf,53,9417.34
7722b1df1b0e383e000397b2c11e3e19,133,9388.45
aac29b1b99776be73c3049939652091d,94,9376.46
36a968b544695394e4e9d7572688598f,148,9307.02
ececbfcff9804a2d6b40f589df8eef2b,97,9270.59
aced59e9b31ef866a94f9e7f29d8d418,61,9240.0
bd0389da23d89b726abf911cccc54596,87,9206.75
6fd52c528dcb38be2eea044946b811f8,67,9206.56
a420f60ff1aa9acc80d0e42959f2b313,67,9183.46
dbb9b48c841a0e39e21f98e1a6b2ec3e,108,9132.49
0432ead42b6c8a0bdf68154add917fdf,82,9100.44
08633c14ef2db992c11f840f04fad4cd,74,9068.82
8648b1e89e9b349e32d3741b30ec737e,93,9041.58
fcb5ace8bcc92f75707dc0f01a27d269,59,8987.14
8a32e327fe2c1b3511609d81aaf9f042,126,8950.39
5d0363b33554b373851fc1622e4d5f3c,93,8946.16
1127b7f2594683f2510f1c2c834a486b,110,8868.78
4e17c65a516f69d023a2ae78b84f28d6,61,8794.8
e333046ce6517bd8bb510291d44f0130,68,8791.38
062ce95fa2ad4dfaedfc79260130565f,54,8773.29
058fd0aa2bfdb2274e05e1ae971dabb6,60,8674.34
2c9e548be18521d1c43cde1c582c6de8,124,8641.21
751bdc4d83a466c7206cd42e8f426b03,51,8555.66
282f23a9769b2690c5dda22e316f9941,98,8538.93
cc63f0dd2acba93ffed4fe9f8e0321fa,55,8496.68
3c7c4a49ec3c6550809089c6a2ca9370,139,8328.21
fa1a9dec3a9940c072684a46728bf1fc,55,8288.65
34056b8b55c1775a22af2331670a799c,77,8150.21
6a8b085f816a1f75f92dbac6eb545f8f,125,8111.65
d13e50eaa47b4cbe9eb81465865d8cfc,66,8106.29
f84a00e60c73a49e7e851c9bdca3a5bb,88,8072.0
516e7738bd8f735ac19a010ee5450d8d,74,8058.71
8c16d1f32a54d92897cc437244442e1b,108,8045.35
376a891762bbdecbc02b4b6adec3fdda,57,8040.62
dee656f0f566ed1aa85bd137c943f08f,92,8021.19
688756f717c462a206ad854c5027a64a,81,8012.36
670c26e0f1bf8d0576271d5cfaec6d2b,77,7930.47
6b243f80ed07b10f0e8aa0f21a205f3c,79,7870.76
080102cd0a76b09e0dcf55fcacc60e05,122,7868.76
b14db04aa7881970e83ffa9426897925,78,7860.76
ba143b05f0110f0dc71ad71b4466ce92,83,7820.17
d9bd94811c3338dceb4181f3dbc0c73e,54,7758.19
b2479f944e1b90cf8a5de1bbfde284d6,101,7743.36
57e632711dec9ec14ca7546769483e7e,62,7663.32
2a261b5b644fa05f4f2700eb93544f2c,51,7628.35
9616352088dcf83a7c06637f4ebf1c80,91,7559.9
dbd66278cbfe1aa1000f90a217ca4695,85,7534.34
f46490624488d3ff7ce78613913a7711,80,7500.03
05d2173d43ea568aa0540eba70d2ca76,62,7464.48
822166ed1e47908f7cfb49946d03c726,69,7452.13
3be634553519fb6536a03e1358e9fdc7,80,7409.09
537eb890efff034a88679788b647c564,158,7400.64
91f848e9f4be368f4318775aac733370,60,7364.35
3df020b72d3d44b3af9d110fa3940b65,55,7275.05
e9d99831abad74458942f21e16f33f92,130,7240.89
b6d44737c043328708f6749c2dbe50bd,61,7233.69
715bbd5ba4e6b74cb0d2f29eb45058b0,62,7222.55
98dac6635aee4995d501a3972e047414,89,7124.13
50c9975695009e5e6473912e83a6d1da,50,7082.48
cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,7070.61
23613d49c3ac2bd302259e55c06c050c,69,6976.11
e62b2d6ac10570a035a30bafcf01d263,62,6965.28
709e16e2b25c7474d980076c6bfc4806,60,6853.44
0d85bbda9889ce1f7e63778d24f346eb,51,6640.02
7d76b645482be4a332374e8223836592,172,6618.55
dfa0c4c6229ab200a4a1336b4d7128ff,77,6591.17
fc906263ca5083d09dce42fe02247800,112,6427.97
9674754b5a0cb32b638cec001178f799,84,6400.42
1336efc61c316ddf92c899eb817f7cae,74,6378.24
f84fa566034f5e8e880a07ec624c56af,89,6272.95
8bb48dc19fccaa8613b6229bf7f452a2,82,6239.79
1bb2bdb95f4841f1bba2c0d2cd83d3c9,79,6190.7
11bfa66332777660bd0640ee84d47006,76,6188.26
e067ad2c1c0b48758eb1b5228bcf7a68,54,6181.63
8a130737016f838139d31878787a39c9,56,6178.09
b561927807645834b59ef0d16ba55a24,85,6141.92
7e3f87d16fb353f408d467e74fbd8014,91,6140.96
d566c37fa119d5e66c4e9052e83ee4ea,65,6124.92
30a2f535bb48308f991d0b9ad4a8c4bb,71,6115.15
06579cb253ecd5a3a12a9e6eb6bf8f47,61,6089.6
2a7dc43cecabf23403078e2188437d1d,52,6014.54
bbad7e518d7af88a0897397ffdca1979,68,5798.77
2ff97219cb8622eaf3cd89b7d9c09824,87,5746.92
d673a59aac7a70d8b01e6902bf090a11,79,5738.72
d20b021d3efdf267a402c402a48ea64b,86,5720.86
582d4f8675b945722eda7c0cb61ba4c7,59,5683.93
d12c926d74ceff0a90a21184466ce161,76,5672.92
891071be6ba827b591264c90c2ae8a63,85,5533.45
db4350fd57ae30082dec7acbaacc17f9,136,5478.27
42b729f859728f5079499127a9c2ef37,103,5477.5
951e8cef368f09bb3f3d03c00ca4702c,62,5465.93
45d33f715e24d15a6ccf5c17b3a23e3c,56,5438.56
6860153b69cc696d5dcfe1cdaaafcf62,74,5352.43
beadbee30901a7f61d031b6b686095ad,64,5311.52
827f8f69dfa529c561901c4f2e0f332f,91,5299.82
0509040ea3fe50071181bbc359eb7738,87,5269.85
f0b47fbbc6dee9aafe415a6e33051b3f,67,5231.87
f3da5b2ff499efb8d4a6d371d175d7dd,77,5037.38
b76dba6c951ab00dc4edf0a1aa88037e,157,4952.53
520b493b57809f446cb0a233bb3e25c7,63,4906.99
8cbac7e12637ed9cffa18c7875207478,66,4852.52
95f83f51203c626648c875dd41874c7f,50,4780.95
1eade46fba20122dc4aefb379f8c636b,58,4774.53
1b8356dabde1d35e17cef975c3f82730,55,4723.66
8f119a0aee85c0c8fc534629734e94fd,75,4645.89
f4aba7c0bca51484c30ab7bdc34bcdd1,108,4635.83
b17b679f4f5ce2e03ce6968c62648246,50,4588.19
a6fe7de3d16f6149ffe280349a8535a0,50,4436.06
4c18691b6037662be2df78a765d98ab5,63,4356.79
9646c3513289980f17226a2fc4720dbd,69,4355.0
643214e62b870443ccbe55ab29a4dccf,65,4330.01
d57e18d5f73c7ccb7f7339b61166898d,61,4249.22
3bdff180c7e1f6551a643b99c265a120,56,4124.33
0c7533c71df861ec58ad7ff999ed0e8d,61,4106.26
f7ccf836d21b2fb1de37564105216cc1,69,3973.26
1838dd9b8977065acf51d95e0053ea7a,62,3963.29
cce6ab8d1682639fe45ab70234f1665f,61,3917.09
a17f621c590ea0fab3d5d883e1630ec6,63,3874.07
5f1dc28029d2c244352a68107ec2b542,62,3858.82
318f287a62ab7ac10b703ac37435a231,51,3568.8
4992e76a42cb3aad7a7047e0d3d7e729,56,3568.39
fd386aa7bed2af3c7035c65506c9b4a3,69,3559.12
f7720c4fa8e3aba4546301ab80ea1f1b,59,3468.64
3504c0cb71d7fa48d967e0e4c94d59d9,53,3280.9
f214d28e8d8e3ef068748498ccc2f813,52,3075.6
116ccb1a1604bc88e4d234a8c23f33de,61,2948.33
25cf099de44674fde97473224f9d59ab,50,2395.45
d9a84e1403de8da0c3aa531d6d108ba6,53,2369.02
002100f778ceb8431b7a1020ff7ab48f,50,2108.41
